DEPTH,GR_EDTC,NPHI,AT10,AT20,AT30,AT60,AT90,RHOM,CMFF,TCMR,CMRP_3MS
6140.958,17.31897,0.0023849555,541.1352,440.98712,1435.6324,1950.0,747.95544,2.631942,3.4923916e-05,1.6074983,0.0019009348
6141.72,34.24281,0.002794159,478.33737,383.52173,1006.2601,1950.0,762.3619,2.649397,0.001629414,1.9768586,0.0016334944
6142.482,28.584,0.004766826,281.15756,283.18332,619.4713,1821.535,766.2101,2.676555,0.03286049,6.8244324,0.049940523
6143.244,32.40288,0.0100099,223.97523,203.74344,297.0298,564.64557,250.53851,2.7534041,0.037988152,8.879047,0.038959447
6144.006,34.637257,0.00643571,188.78844,191.66649,224.10481,212.75548,133.92442,2.7018836,0.009559313,3.811103,0.029214451
6144.768,36.07112,0.006544968,103.62319,87.07516,92.26158,88.388596,71.29435,2.6376255,0.010427871,4.339887,0.013406502
6145.5303,36.585117,0.026526233,68.112175,56.852337,54.33985,60.50104,51.75063,2.5706844,0.0447997,6.1036243,0.048959583
6146.292,28.729445,0.0071221637,89.66992,74.41474,70.095955,46.035362,39.106873,2.6729066,7.873899e-06,4.0529547,0.0057735424
6147.054,21.60022,0.023554489,39.071754,24.764671,17.925037,17.033274,14.807103,2.6109688,0.08113136,8.739818,0.08735084
6147.816,21.119555,0.02654018,61.58073,34.070538,34.280693,34.899204,25.267382,2.6051965,7.292482e-06,6.7001066,0.02664807
6148.578,34.84766,0.018419342,59.23765,31.367008,25.665323,18.675848,16.273151,2.601433,0.032546923,8.965565,0.03255218
6149.34,38.300003,0.031393703,44.916893,25.42697,21.593174,20.593636,18.400805,2.5076275,0.026809508,2.8598337,0.026817825
6150.102,28.530844,0.0029478078,46.86846,27.62621,32.625065,78.77854,66.20093,2.6127033,0.038438957,8.05193,0.07130399
6150.8643,40.14055,0.0056589087,51.55829,31.428404,31.476866,24.5295,25.119823,2.6193948,0.07003857,9.073943,0.07686984
6151.626,34.433666,0.055122275,27.541235,21.629171,22.86403,33.22982,30.971754,2.5420134,0.06649453,7.1440487,0.06729612
6152.388,55.84814,0.029931473,57.350815,50.3975,48.308495,32.114117,30.749691,2.6008477,0.06428858,10.325014,0.0960978
6153.15,45.437275,0.03072134,89.45463,121.69325,127.71765,178.65953,150.49727,2.5984702,0.053425036,9.501203,0.053681675
6153.912,51.14435,0.016229752,86.79974,96.94612,140.35773,260.11752,168.02634,2.6687813,0.03784276,6.264182,0.044508487
6154.674,44.349506,0.008454366,254.63988,248.03867,417.9817,462.282,253.1172,2.6803477,0.0296111,4.126337,0.03623476
6155.436,31.498795,0.0076103928,492.36877,475.19543,812.4951,1142.3049,624.9465,2.6873975,0.0053780857,1.6913692,0.0169016
6156.198,46.255108,0.009143817,511.83163,317.7638,513.182,1058.4396,378.99014,2.655657,0.024968669,5.9605536,0.026969155
6156.96,55.601505,0.0034322052,437.79837,290.7447,637.4618,1868.6669,377.5789,2.7116067,0.017330404,3.3592117,0.024512706
6157.722,46.056896,0.0026392106,313.8512,208.40002,370.65292,1101.742,334.11548,2.705953,0.018085606,3.9980671,0.039963964
6158.484,45.033173,0.0074590202,473.2518,386.85,848.85455,1552.5996,609.40204,2.712599,0.020964641,2.2242422,0.020968718
6159.246,46.252853,0.0083381785,479.91983,442.10913,1516.6581,1921.9125,1186.5016,2.6702073,0.03801171,4.520956,0.045195382
6160.008,38.10182,0.0044911215,521.3354,432.8402,1728.959,1950.0,1950.0,2.6913257,0.015521107,3.433907,0.02071125
6160.77,38.86447,0.0038321558,559.03827,482.50073,1939.6233,1950.0,1950.0,2.6866202,0.014608536,2.4552054,0.021367237
6161.532,51.750748,0.0047499333,581.48834,519.75616,1950.0,1859.4434,1634.8276,2.683379,0.012609995,4.2901626,0.012640474
6162.294,45.854023,0.0037665626,668.1995,633.6198,1207.843,688.35986,391.34842,2.7107165,0.0046346015,2.4209135,0.02001658
6163.056,41.1654,0.005853162,191.71777,190.62386,565.83167,537.6903,413.63068,2.6469588,0.023066334,3.0477698,0.030472454
6163.818,45.021255,0.00437391,464.51276,341.12473,1240.6042,1311.5225,812.8122,2.702019,0.010290836,2.30174,0.023013253
6164.58,53.9704,0.0051426413,549.1148,442.22586,1949.3276,1950.0,1533.3094,2.7375042,0.017101707,3.9480846,0.017105792
6165.342,50.96335,0.0038503988,604.0431,514.4946,1930.518,1536.9701,1283.2769,2.6932068,0.020899719,2.0981843,0.020977695
6166.104,47.47165,0.0023331689,402.10385,543.61475,1704.8882,687.82263,522.2716,2.7029617,7.878328e-06,0.7335798,0.00059448375
6166.866,51.707424,0.004493764,333.777,416.6481,1620.7087,1817.3107,1674.8408,2.698511,0.020670665,2.8747864,0.020690475
6167.628,49.318676,0.0030251066,423.8958,426.44296,1477.6304,1950.0,1774.68,2.6860578,0.010079715,4.7658434,0.021663934
6168.39,45.024197,0.020095013,352.36954,361.41443,1358.7534,1950.0,1532.1606,2.703588,0.023955157,7.376252,0.050069526
6169.152,41.973022,0.011818046,309.95108,317.16992,1020.5647,1950.0,1698.1533,2.6442463,0.019496651,2.3824193,0.020159181
6169.914,44.93204,0.017530879,234.11264,223.30019,435.5182,1482.843,531.06085,2.6599698,0.036209412,5.8460975,0.049106892
6170.6763,30.76918,0.009200769,302.86066,288.51804,677.0742,1806.8281,960.42993,2.707163,0.022515224,9.231787,0.034383234
6171.438,37.673203,0.007805044,320.01044,316.69968,762.2668,1950.0,1271.9742,2.6477232,0.014581192,3.0124831,0.017898044
6172.2,40.150024,0.013328522,216.96365,203.4205,332.25696,1135.0801,423.39743,2.7444606,0.056836046,6.924554,0.06920621
6172.962,36.970608,0.015302955,305.48975,306.7458,640.46265,1512.6547,783.2239,2.6613955,0.024653923,5.761605,0.055755902
6173.724,38.33904,0.010922031,325.66702,348.66537,1131.0713,1950.0,1904.8612,2.6527703,0.04625505,9.786366,0.053077914
6174.486,43.40131,0.009178362,314.14856,334.7493,1161.3853,1950.0,1869.6345,2.6905782,0.022727447,3.5850492,0.022743067
6175.248,40.953964,0.008003133,338.76553,349.16724,1194.7617,1950.0,1950.0,2.6817305,0.009089626,2.5369096,0.020861838
6176.0103,35.047173,0.010968917,279.5291,284.22836,774.3055,1950.0,1849.2495,2.7140572,0.04197929,6.855908,0.05225815
