DEPTH,GR,SP,RHGX_HILT,DTCO3,AT10,AT30,AT90,RHOZ,NPHI,CMFF,CMRP_3MS,TCMR
5039.4106,11.342503,-1387.3125,3.6134305,65.05033,1950.0,1128.5553,21.978006,4.6288,0.7808399,0.0016857354,0.0016900382,0.006266635
5040.4775,38.86761,-1392.25,3.61268,63.6933,1950.0,1281.0519,24.856184,4.6288,-0.016380008,0.001685605,0.0016899075,0.00626615
5040.63,35.027695,-1399.4375,3.6131299,63.13679,1950.0,1385.512,33.87885,4.6288,-0.011790546,0.001685605,0.0016899075,0.00626615
5041.0874,33.29552,-1411.1875,3.6124957,63.155136,1950.0,1404.0802,61.120518,4.6288,-0.0085198665,0.0016852423,0.0016895438,0.0062648016
5044.5923,9.877826,-1427.75,3.611626,63.498108,1950.0,1328.1881,58.161854,4.6288,0.058532674,0.001685605,0.0016899075,0.00626615
5044.7446,9.24508,-1429.25,3.6119568,63.918804,1950.0,1180.5001,64.69309,4.6288,0.083626226,0.0016859674,0.0016902708,0.006267498
5044.8975,9.874909,-1432.6875,3.613609,64.34501,1950.0,992.111,66.68181,4.6288,-0.01923038,0.001685605,0.0016899075,0.00626615
5045.05,9.892603,-1436.5,3.6138964,64.69428,1950.0,800.9842,89.39187,4.6288,-0.035297766,0.0016859975,0.0016903009,0.006267609
5045.202,9.896248,-1436.5625,3.6128783,64.64392,1950.0,632.5527,121.577866,4.6288,1.0963161,0.0016859975,0.0016903009,0.006267609
5045.507,8.608552,-1444.0,3.6110477,64.40837,1950.0,498.3366,165.92032,4.6288,1.2258743,0.0016859466,0.0016902499,0.00626742
5049.9263,8.86135,-1447.75,3.6099634,64.38021,1950.0,397.92148,230.1722,4.6288,-0.26184717,0.0016854539,0.0016897559,0.0062655886
5051.9077,7.9794426,-1448.9375,3.6100163,66.23148,1950.0,324.88483,320.15796,4.6288,-0.0131411245,0.001686179,0.0016904828,0.006268284
5052.2124,12.195418,-1449.875,3.6109002,68.87837,1950.0,270.17307,427.93063,4.6288,-0.09538407,0.001686179,0.0016904828,0.006268284
5052.3647,12.1916275,-1449.5,3.6115263,70.63973,1950.0,227.47934,498.49506,4.6288,0.018864458,0.0016854539,0.0016897559,0.0062655886
5052.517,10.423732,-1452.4375,3.611648,70.094635,1950.0,195.01724,485.33435,4.6288,0.11827155,0.001686179,0.0016904828,0.006268284
5061.966,10.254258,-1452.75,3.6120822,68.1424,1950.0,170.12302,400.2735,4.6288,0.026833085,0.001685725,0.0016900277,0.0062665963
5068.519,7.3452325,-1464.5,3.6139724,67.52531,1950.0,148.44028,296.11032,4.6288,-0.13511242,0.001685725,0.0016900277,0.0062665963
5068.824,7.026153,-1459.625,3.614893,68.59859,1950.0,130.90068,209.50215,4.6288,0.13566247,0.0016853625,0.0016896643,0.0062652486
5069.8906,8.864696,-1460.3125,3.615406,71.50078,1950.0,116.78429,146.05731,4.6288,-0.114944436,0.001685725,0.0016900277,0.0062665963
5075.0723,8.861196,-1459.5,3.6150503,73.78251,1950.0,101.25008,103.33236,4.6288,0.47047207,0.0016860876,0.0016903912,0.006267944
5075.2246,8.647931,-1466.3125,3.6148827,74.84344,1950.0,89.54861,83.33756,4.6288,0.6597537,0.0016860876,0.0016903912,0.006267944
5075.3774,8.460341,-1463.875,3.6143942,73.84645,1950.0,82.48227,71.99437,4.6288,0.61426216,0.0016859062,0.0016902095,0.00626727
5075.987,8.23195,-1468.25,3.6139338,71.609886,1950.0,73.16282,58.66779,4.6288,-0.085941784,0.0016854926,0.0016897947,0.006265732
5076.139,7.725754,-1470.25,3.6136706,69.94557,1950.0,60.66408,44.370075,4.6288,0.1619146,0.0016852117,0.0016895131,0.006264688
5076.2915,7.090093,-1470.0,3.6138923,68.1015,1950.0,43.20624,24.823936,4.6288,0.6581268,0.0016852117,0.0016895131,0.006264688
5076.444,5.823145,-1475.5,3.6151364,65.92929,1950.0,51.634186,30.74285,4.6288,0.5867409,0.0016852117,0.0016895131,0.006264688
5077.9683,7.722692,-1477.3125,3.615636,63.71381,1950.0,32.13113,22.312479,4.6288,-0.008327324,0.0016852117,0.0016895131,0.006264688
5078.1206,8.356166,-1475.1875,3.6156518,63.41082,1950.0,15.739046,7.8162255,4.6288,-0.0027304562,0.001685807,0.00169011,0.006266901
5078.273,7.345669,-1473.0,3.6163397,64.06497,1950.0,15.29417,7.083705,4.6288,-0.0324085,0.001684487,0.0016887865,0.006261994
5080.4062,8.354854,-1478.0625,3.617399,64.25084,1950.0,21.670246,8.758307,4.6288,-0.18327291,0.0016852117,0.0016895131,0.006264688
5088.0264,6.839933,-1482.875,3.6186934,64.57399,1950.0,45.503765,13.927699,4.6288,-0.1449772,0.001685704,0.0016900067,0.006266518
5092.2935,5.8004184,-1480.6875,3.6170208,64.637245,1950.0,56.454018,28.978771,4.6288,0.1671743,0.0016855743,0.0016898767,0.006266036
5092.446,6.1822524,-1477.125,3.6159391,65.325905,1950.0,57.36577,27.54905,4.6288,0.18478036,0.0016846376,0.0016889377,0.006262554
5092.5986,7.974767,-1475.75,3.6158676,66.243355,1950.0,72.77044,30.059013,4.6288,-0.019610994,0.0016846376,0.0016889377,0.006262554
5092.751,6.8358254,-1476.25,3.6167178,66.68307,1950.0,87.47491,30.482088,4.6288,-0.021435603,0.0016852323,0.0016895338,0.006264765
5092.9033,6.9625206,-1478.3125,3.6175838,67.410614,1950.0,104.477104,29.54401,4.6288,-0.019701188,0.0016853625,0.0016896643,0.0062652486
5093.0557,7.219555,-1477.5,3.618268,68.65346,1950.0,142.56007,30.668856,4.6288,-0.047003414,0.0016853625,0.0016896643,0.0062652486
5096.408,5.6970305,-1476.4375,3.6196437,69.28816,1950.0,200.70566,16.026968,4.6288,-0.021315457,0.0016853625,0.0016896643,0.0062652486
5096.561,6.2032266,-1471.8125,3.6194947,69.45393,1950.0,289.43048,15.232402,4.6288,0.45618492,0.001685725,0.0016900277,0.0062665963
5096.7134,6.8367004,-1475.4375,3.6194127,68.96648,1950.0,422.30197,14.051604,4.6288,0.41149297,0.0016852323,0.0016895338,0.006264765
5096.8657,7.3458123,-1478.875,3.6188233,68.1222,1950.0,613.47345,9.545766,4.6288,1.2836187,0.0016849097,0.0016892103,0.0062635653
5099.4565,8.991096,-1476.625,3.6178217,68.030914,1950.0,880.4887,11.915898,4.6288,-0.0049380744,0.0016849097,0.0016892103,0.0062635653
5099.609,7.3436303,-1479.5625,3.6184971,67.570465,1950.0,1254.0275,19.464634,4.6288,-0.011554238,0.0016849097,0.0016892103,0.0062635653
5099.761,7.323385,-1480.9375,3.616896,69.025986,1950.0,1660.6838,36.04264,4.6288,-0.023382587,0.0016849097,0.0016892103,0.0062635653
5099.9136,6.4349174,-1486.8125,3.616993,70.59108,1950.0,1935.1582,27.067045,4.6288,-0.030460015,0.001685272,0.0016895735,0.006264912
5100.066,6.5662723,-1479.4375,3.614992,71.36465,1950.0,1950.0,28.006432,4.6288,-0.00788824,0.001685272,0.0016895735,0.006264912
5100.2183,5.6971755,-1480.3125,3.6148825,71.17083,1950.0,1950.0,33.68038,4.6288,0.019795021,0.0016854019,0.0016897038,0.006265395
5100.828,8.400395,-1478.625,3.6166744,70.10352,1950.0,1950.0,41.68739,4.6288,-0.061269656,0.001685272,0.0016895735,0.006264912
5100.9805,8.596393,-1477.9375,3.6177235,69.01532,1950.0,1950.0,75.30282,4.6288,0.04276955,0.0016849097,0.0016892103,0.0062635653
5101.133,8.520249,-1475.9375,3.6186576,68.388504,1950.0,1950.0,79.9463,4.6288,-0.015802393,0.0016853625,0.0016896643,0.0062652486
5101.285,7.84823,-1469.75,3.6173084,67.84183,1950.0,1950.0,81.10298,4.6288,-0.035871226,0.0016853625,0.0016896643,0.0062652486
5101.4375,9.041793,-1474.5,3.6200655,67.37939,1950.0,1950.0,82.30704,4.6288,-0.029487746,0.0016854926,0.0016897947,0.006265732
5101.59,10.001008,-1466.5625,3.6185906,67.43935,1950.0,1950.0,70.09281,4.6288,-0.019096877,0.001685725,0.0016900277,0.0062665963
5101.7427,10.001008,-1460.1875,3.6170862,67.37304,1950.0,1950.0,59.61721,4.6288,-0.015167818,0.001685725,0.0016900277,0.0062665963
5101.895,8.484754,-1456.4375,3.6158159,66.58635,1950.0,1950.0,47.294014,4.6288,-0.019892972,0.001685725,0.0016900277,0.0062665963
5102.0474,7.852009,-1450.0,3.619039,64.85486,1950.0,1950.0,43.014965,4.6288,-0.010136472,0.0016857251,0.0016900279,0.0062665967
5102.352,7.216932,-1447.875,3.6188114,63.65866,1950.0,1950.0,59.73093,4.6288,0.0262713,0.0016860876,0.0016903912,0.006267944
5105.095,7.97885,-1454.0625,3.6189325,64.212746,1950.0,1950.0,65.20081,4.6288,-0.0667864,0.0016861791,0.001690483,0.0062682843
5105.2476,8.485045,-1453.0,3.6175346,66.589905,1950.0,1950.0,63.766678,4.6288,-0.09873547,0.0016861791,0.001690483,0.0062682843
5105.5522,7.216202,-1441.5625,3.6166713,69.457016,1950.0,1950.0,59.861565,4.6288,-0.07696929,0.0016861791,0.001690483,0.0062682843
5105.7046,7.1956887,-1439.4375,3.6150742,70.738075,1950.0,1950.0,57.47275,4.6288,-0.026527781,0.0016864117,0.0016907161,0.0062691486
5105.8574,8.461179,-1433.25,3.6160593,72.587074,1950.0,1950.0,62.278145,4.6288,-0.03751514,0.0016858163,0.0016901193,0.0062669357
5106.01,8.837911,-1433.0,3.6154516,71.70735,1950.0,1950.0,50.13087,4.6288,-0.006236491,0.0016858163,0.0016901193,0.0062669357
5106.162,8.735228,-1432.0,3.6157348,72.752235,1950.0,1950.0,46.525322,4.6288,-0.012734546,0.0016854539,0.0016897559,0.0062655886
5106.3145,8.231802,-1432.9375,3.6156106,72.159004,1950.0,1950.0,44.792866,4.6288,-0.009322836,0.001686179,0.0016904828,0.006268284
5107.3813,6.838742,-1440.0625,3.614812,70.168846,1950.0,1950.0,39.25506,4.6288,-0.013841118,0.001686179,0.0016904828,0.006268284
5107.5337,7.588095,-1436.5625,3.6137435,67.06304,1950.0,1950.0,54.74606,4.6288,0.7623053,0.001685725,0.0016900277,0.0062665963
5108.448,5.824017,-1442.625,3.6138077,65.12684,1950.0,1950.0,66.34689,4.6288,-0.0030732292,0.001685725,0.0016900277,0.0062665963
5113.3247,7.6393275,-1442.25,3.614167,64.16408,1950.0,1950.0,52.337814,4.6288,-0.045606263,0.0016860876,0.0016903912,0.006267944
5113.477,9.157916,-1440.6875,3.6135492,64.23691,1950.0,1950.0,56.311306,4.6288,-0.053633865,0.001685725,0.0016900277,0.0062665963
5113.6294,10.380802,-1433.25,3.6136992,65.15999,1950.0,1950.0,62.13637,4.6288,-0.035126824,0.0016853625,0.0016896643,0.0062652486
5113.782,9.8740225,-1431.9375,3.6127994,65.22593,1950.0,1950.0,73.123566,4.6288,-0.03706707,0.0016850001,0.001689301,0.0062639015
5113.9346,8.864692,-1431.625,3.6118572,63.928547,1950.0,1950.0,78.1528,4.6288,0.5659707,0.001685725,0.0016900277,0.0062665963
5114.2393,7.4694448,-1422.5625,3.6123922,62.270363,1950.0,1950.0,76.79061,4.6288,0.3667728,0.0016860876,0.0016903912,0.006267944
5114.8486,7.3410087,-1423.375,3.609657,60.24952,1950.0,1950.0,71.99059,4.6288,-0.06897609,0.0016854539,0.0016897559,0.0062655886
5116.22,4.810019,-1430.125,3.6134558,60.01645,1950.0,1950.0,83.07237,4.6288,-0.05641198,0.0016854539,0.0016897559,0.0062655886
5119.878,8.299997,-1424.375,3.609454,58.92298,1950.0,1950.0,94.25774,4.6288,-0.033939995,0.0016854539,0.0016897559,0.0062655886
5120.0303,7.7218137,-1423.125,3.6169753,58.819702,1950.0,1950.0,96.18948,4.6288,-0.027388519,0.0016854539,0.0016897559,0.0062655886
5120.1826,7.4687157,-1423.9375,3.6100101,60.21645,1950.0,1950.0,97.67092,4.6288,-0.016088553,0.001686179,0.0016904828,0.006268284
5120.3354,7.215618,-1421.3125,3.6183205,61.6704,1950.0,1950.0,97.913475,4.6288,-0.070604,0.001686179,0.0016904828,0.006268284
5128.565,8.732505,-1425.625,3.6198564,63.80573,1950.0,1950.0,97.04883,4.6288,-0.0397112,0.001686179,0.0016904828,0.006268284
5128.8696,8.231996,-1425.0625,3.6283724,64.43848,1950.0,1950.0,93.830185,4.6288,0.08821776,0.001686179,0.0016904828,0.006268284
5130.241,4.559693,-1420.5625,3.6277702,64.5703,1950.0,1950.0,83.80142,4.6288,0.03526373,0.0016854539,0.0016897559,0.0062655886
5130.546,5.569898,-1424.75,3.6337647,65.105774,1950.0,1950.0,76.473145,4.6288,-0.0120616695,0.0016868656,0.0016911713,0.006270836
5130.698,7.8477807,-1416.0,3.6343448,66.110916,1950.0,1950.0,73.01739,4.6288,-0.022549778,0.0016868656,0.0016911713,0.006270836
5130.851,7.341585,-1414.4375,3.6343448,67.30951,1950.0,1950.0,72.409874,4.6288,-0.010517064,0.0016872287,0.0016915352,0.006272186
5134.356,8.231996,-1414.9375,3.6343448,67.37954,1950.0,1950.0,62.249973,4.6288,0.19605476,0.0016866327,0.0016909378,0.0062699704
5134.5083,7.469162,-1418.0625,3.6299863,67.06408,1950.0,1950.0,70.8581,4.6288,0.002288004,0.0016862701,0.0016905742,0.006268623
5134.6606,6.7089934,-1412.3125,3.6309574,65.3263,1950.0,1950.0,60.897923,4.6288,0.046424948,0.0016869955,0.0016913015,0.006271319
