DEPTH,GR,AT10,AT30,AT90,RHOZ,NPHI,DTCO,PEFZ,CMFF,CMRP_3MS,TCMR
5495.6963,26.02889,130.30641,168.8995,140.78716,2.5595198,0.1257725,59.061234,4.818829,6.296762,9.060388,10.087584
5495.8486,24.759497,220.8984,104.93131,92.34673,2.5974684,0.100735866,56.489647,4.7112923,5.3333716,8.5706,9.599126
5496.0015,25.250875,91.211655,90.5564,77.4243,2.6100326,0.0990479,55.993904,4.6132975,5.5333176,9.203664,10.269365
5496.154,26.580032,74.38907,71.050835,57.458027,2.6139896,0.10466395,56.385353,4.447981,5.253087,9.526768,10.791314
5496.306,33.45932,53.06534,56.89652,50.236668,2.6028397,0.113094874,57.12893,4.276051,5.253087,9.526768,10.791314
5496.4585,39.519646,53.64767,50.03371,46.156723,2.5794911,0.11438609,59.041637,4.1696143,5.6174884,9.408619,10.304655
5496.611,44.84456,81.08588,72.62589,63.680546,2.5321062,0.11564226,63.059864,4.232836,6.8976326,9.410036,9.41043
5496.763,46.047405,108.70886,99.79192,85.97144,2.515616,0.11949879,65.33088,4.197569,6.2259088,8.75396,8.754795
5496.9155,46.749462,178.38017,164.57553,150.23929,2.5349104,0.11230486,65.22902,4.0188513,5.705617,8.099878,8.180234
5497.068,48.093964,272.39844,173.5629,162.41628,2.5800238,0.1020494,63.33933,3.8447728,5.705617,8.099878,8.180234
5497.22,43.22742,206.7226,194.35477,182.90056,2.5932388,0.08881902,59.013813,4.044157,6.6707993,8.794538,9.244004
5497.373,34.09448,208.03741,213.63184,222.5736,2.5857544,0.09414845,58.065823,4.4423046,7.811198,9.472511,9.775188
5497.5254,21.405828,150.24059,224.85727,229.50014,2.5807743,0.10654633,58.02851,4.798912,6.7313,8.437123,8.812046
5497.6777,17.175978,133.00139,449.73056,633.58716,2.5952585,0.098638915,56.715874,4.9357243,4.9147615,7.266384,7.5115623
5497.83,18.170185,103.54027,189.70546,241.04825,2.6177096,0.09006499,56.614227,4.888403,4.9147615,7.266384,7.5115623
5497.9824,22.075518,108.23721,134.69075,168.57538,2.6348262,0.086428374,56.421562,4.707054,4.1979837,7.2871847,7.6497765
5498.135,24.70127,112.03949,108.106995,106.52453,2.6460297,0.0979773,56.112164,4.480557,4.1068697,7.4365163,8.076077
5498.287,27.993116,74.059006,122.155075,114.04713,2.6517327,0.09261892,55.203266,4.302908,3.3461068,5.7926745,6.700243
5498.4395,32.231476,123.32633,171.44615,140.89783,2.6643353,0.06081626,54.44825,4.0199504,2.465755,3.9846904,5.3324413
5498.592,36.885044,287.1368,213.0532,174.96669,2.663185,0.025825592,53.371128,3.6740956,2.465755,3.9846904,5.3324413
5498.7446,41.419952,604.62634,306.3966,239.66408,2.6488986,0.012570916,53.164963,3.453874,1.7622368,2.8942206,3.864826
5498.897,42.90558,401.68246,440.32745,262.2828,2.6286166,0.013618012,52.149223,3.6734686,1.8072864,3.3300252,3.6134791
5499.0493,41.308605,461.93665,580.76764,306.62903,2.6275182,0.030031666,52.064705,4.2075386,2.2662985,4.3942,4.395124
5499.2017,32.36275,597.5647,1032.3578,780.6598,2.6366575,0.051180404,52.656876,4.7696753,2.6258063,4.789831,4.790306
5499.354,25.046488,542.85144,739.856,716.55023,2.647008,0.05690834,52.336124,5.1304855,2.6258063,4.789831,4.790306
5499.5063,20.695745,338.94543,679.9229,883.0723,2.6542876,0.046171166,53.441895,5.2783966,2.4730642,4.3483677,4.348681
5499.6587,21.462425,254.20937,643.38324,902.5854,2.6669412,0.03493979,52.854626,5.2764997,1.7721808,4.0569973,4.0573106
5499.811,22.371742,275.4346,676.1286,798.44867,2.687572,0.027961181,52.355843,5.112944,1.2838887,3.924778,4.7388463
5499.964,24.347494,305.87204,1503.4894,1518.0391,2.6976469,0.03911882,51.591473,4.858137,1.0415798,4.350697,5.2404823
5500.116,26.225855,429.82684,1340.9924,841.0145,2.6979728,0.05959738,51.19162,4.546309,1.0415798,4.350697,5.2404823
5500.2686,27.380121,476.64886,677.5692,403.41818,2.6871479,0.075990714,51.094814,4.2810683,1.6927328,5.2812057,5.405105
5500.421,28.594315,582.18695,1010.4838,453.79065,2.682653,0.07474897,51.230675,4.0531893,1.8315736,4.35033,4.35358
5500.573,34.51072,681.9069,759.4094,331.88287,2.6865869,0.05353798,51.305614,3.8596082,1.471227,2.7916045,3.2125826
5500.7256,41.021473,1247.8829,826.95886,319.22794,2.6757073,0.033285778,51.0229,3.7632349,2.0021431,3.184481,3.187726
5500.878,46.281628,771.421,626.7087,294.31357,2.6473558,0.023182655,51.34745,3.8068094,2.0021431,3.184481,3.187726
5501.0303,39.850304,710.1895,583.83954,278.42075,2.604155,0.03681407,53.400593,4.014297,4.881478,6.9186816,6.918995
5501.1826,28.083242,722.8607,442.62164,286.6934,2.551269,0.074406154,58.77788,4.346793,9.291726,12.434359,12.436221
5501.3354,15.589912,870.03766,525.47296,343.596,2.4844468,0.12378537,65.2303,4.708553,12.261495,15.892321,16.43259
5501.488,9.73702,709.0842,699.8717,427.46295,2.433709,0.14906168,68.23918,4.9604025,11.864741,15.158963,16.384993
5501.64,9.465327,1194.7922,798.0696,647.51184,2.4300532,0.15134932,67.35524,4.8782616,11.864741,15.158963,16.384993
5501.7925,9.488738,1874.4764,784.1009,629.355,2.4598856,0.13631597,64.681564,4.628646,9.96966,12.655605,13.919989
5501.945,10.913276,1921.3467,742.2866,608.21686,2.4936688,0.122836486,62.2106,4.366188,8.550691,10.584065,11.374658
5502.097,10.954224,1082.168,699.0456,575.62427,2.5156717,0.10547983,60.224277,4.2925677,7.9537654,9.866116,10.118379
