DEPTH,GR,NPHI,AT10,AT30,AT90,CMFF,CMRP_3MS,TCMR
5428.9453,10.351474,0.15432945,1950.0,1950.0,125.26655,0.00044677308,0.0025198571,1.7882377
5429.0977,11.099509,0.15317549,1950.0,1950.0,134.51065,0.00044667878,0.0025193251,1.7878602
5429.25,10.872993,0.13428596,1950.0,1950.0,143.92212,0.00044667878,0.0025193251,1.7878602
5429.4023,12.109857,0.10474034,1950.0,1950.0,153.27435,0.00044667878,0.0025193251,1.7878602
5429.5547,11.191657,0.06756792,1950.0,1950.0,162.44145,0.00044667878,0.0025193251,1.7878602
5429.707,11.01648,0.053744875,1950.0,1950.0,171.91017,0.00044677308,0.0025198571,1.7882377
5429.86,10.264506,0.04677142,1950.0,1950.0,181.65195,0.00044667878,0.0025193251,1.7878602
5430.012,10.376575,0.04189258,1950.0,1950.0,192.26317,0.00044667878,0.0025193251,1.7878602
5430.1646,10.327837,0.030037679,1950.0,1950.0,203.52916,0.00044667878,0.0025193251,1.7878602
5430.317,10.499427,0.023532007,1950.0,1950.0,214.26875,0.00044677308,0.0025198571,1.7882377
5430.469,9.729253,0.017963473,1950.0,1950.0,222.18196,0.00044677308,0.0025198571,1.7882377
5430.6216,9.718071,0.013162613,1950.0,1950.0,224.03252,0.00044677308,0.0025198571,1.7882377
5430.774,10.315582,0.008994822,1950.0,1950.0,216.8283,0.0004465844,0.002518793,1.7874826
5430.9263,11.22316,0.0047208588,1950.0,1950.0,198.43767,0.0004465844,0.002518793,1.7874826
5431.0786,11.269191,0.001965197,1950.0,1950.0,171.93225,0.0004465844,0.002518793,1.7874826
5431.2314,9.859826,0.0002569052,1950.0,1950.0,143.11179,0.00044667878,0.0025193251,1.7878602
5431.384,9.07592,-0.00025659543,1950.0,1950.0,116.82543,0.00044667878,0.0025193251,1.7878602
5431.536,9.091184,-0.0002746115,1950.0,1950.0,95.90221,0.00044667878,0.0025193251,1.7878602
5431.6885,9.869199,-0.0011298253,1950.0,1950.0,80.88847,0.00044667878,0.0025193251,1.7878602
5431.841,10.564664,-0.0023777648,1950.0,1950.0,68.75791,0.00044667878,0.0025193251,1.7878602
5431.993,9.982226,-0.0046553263,1950.0,1950.0,59.368114,0.00044667878,0.0025193251,1.7878602
5432.1455,10.094592,-0.0061256005,1950.0,1950.0,57.41118,0.00044677308,0.0025198571,1.7882377
5432.298,9.92875,-0.007805017,1950.0,1950.0,52.94148,0.0004465844,0.002518793,1.7874826
5432.45,10.461076,-0.008253547,1950.0,1950.0,52.197502,0.0004465844,0.002518793,1.7874826
5432.603,10.741978,-0.008499191,1950.0,1950.0,47.32459,0.0004465844,0.002518793,1.7874826
5432.7554,10.9744,-0.008225457,1950.0,1950.0,40.6671,0.0004465844,0.002518793,1.7874826
5432.9077,10.93908,-0.0078599155,1950.0,1950.0,58.248623,0.00044677308,0.0025198571,1.7882377
