DEPTH,k,phi,GR,AT90,RHOZ,NPHI,DTCO,PEFZ,NMRFF,NMREFF,NMRTOT
5745.023,0.764,11.4,23.183508,165.3824,2.5491447,0.09878358,59.870834,4.10369,0.00053709815,0.00092191773,0.0009219558
5745.1753,20.9,19.8,24.336348,155.41843,2.5711887,0.08037439,58.376797,3.667773,0.00053709815,0.00092191773,0.0009219558
5745.3276,21.7,21.9,28.459023,130.48651,2.587094,0.061684586,56.871933,3.479652,0.00057051034,0.00093624904,0.0009482372
5745.937,30.5,14.2,26.923277,209.26265,2.494667,0.12160661,60.2126,4.7311144,0.0012682574,0.0014353377,0.0014354858
5746.242,46.9,16.2,19.284761,296.7977,2.4200487,0.16022812,65.19182,4.82946,0.0014067085,0.0015499927,0.0015501464
5746.3945,74.8,18.7,18.405035,413.06226,2.402738,0.17476256,65.25777,4.8098154,0.001446905,0.0015435307,0.0015436873
5746.547,75.8,14.2,17.972029,486.72958,2.388971,0.187123,66.03309,4.830298,0.0014946203,0.0016080136,0.001715368
5746.8516,78.7,12.8,16.903805,510.9805,2.3881042,0.18380582,66.29459,5.049816,0.0015113153,0.001663338,0.0018121579
5747.1562,405.0,15.2,18.998716,363.8246,2.4454477,0.15952232,65.14449,5.103597,0.0014160961,0.0016242947,0.0017020404
5747.3086,207.0,15.0,21.381065,304.99915,2.4776719,0.14717743,63.368275,4.9966755,0.0013500844,0.0015243682,0.001576479
5747.614,348.0,17.5,25.375969,227.67401,2.4914808,0.14335084,62.034946,4.5980844,0.0011562187,0.0013327223,0.0013885468
5747.9185,129.0,16.9,23.76243,175.0888,2.4802098,0.13839918,63.317608,4.0008125,0.0010759765,0.0013596879,0.0013597261
5748.223,671.0,16.2,25.907478,122.935524,2.5061674,0.1260644,60.408447,3.5297508,0.0013007398,0.0015566008,0.0015574181
5748.528,405.0,15.1,31.841919,121.995445,2.4676886,0.17811987,63.504375,4.2104387,0.0015868633,0.0017474081,0.0017598729
5748.9854,329.0,16.0,21.575378,271.8018,2.400987,0.18735304,66.31867,5.2093973,0.0016526415,0.0017606801,0.0017878115
5749.1377,6.9,11.3,18.843788,746.33655,2.3948174,0.18781775,66.30901,5.37716,0.0014758126,0.0016650222,0.0017199026
5749.29,20.0,12.5,16.882956,540.2096,2.4050741,0.18139327,66.25223,5.4752207,0.001324889,0.0016373293,0.0017201565
5749.5947,294.0,16.9,17.326765,920.3109,2.4257314,0.16411743,66.24038,5.516507,0.0013488339,0.0015181426,0.0015957667
5749.8994,1290.0,16.8,18.048006,1950.0,2.4081657,0.15980747,65.275635,5.5736165,0.0013656935,0.0015096053,0.0015714229
5750.0522,271.0,15.1,18.482866,1939.1299,2.3980057,0.16286601,65.593994,5.605208,0.001455545,0.0015830668,0.0016397447
5750.2046,13.1,16.4,19.095987,1787.8354,2.3908544,0.15884504,66.25255,5.588232,0.0015603555,0.0017189761,0.0017190143
5750.5093,31.3,19.2,20.54489,1324.3483,2.3872538,0.16064897,66.66705,5.417686,0.0015357136,0.0017744926,0.0017746831
5750.814,18.6,15.8,22.922777,1058.5032,2.3956838,0.16289386,65.34521,5.460486,0.0013689729,0.0016420647,0.0017305409
5751.1187,0.004,3.3,25.716509,1266.9015,2.425863,0.15628317,64.482155,5.495843,0.0014142687,0.0016296557,0.0017351283
5751.424,4.31,9.1,29.722876,1181.1954,2.4182203,0.1740908,66.35907,5.4868917,0.0014746459,0.0017069728,0.0018019752
